item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at,project_matches,staff_code,needs_review,extraction_confidence,category_id,item_order,item_title,item_text,action_taken,action_type,vote_detected,extraction_notes
16,2,7,Ordinance,Ordinance No. 2016-15,,"Ordinance No. 2016-15 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Village Transitional Comprehensive Plan to add Policy 19.3.4 Providing for the Option to Convert a Commercial Planned Development of",,,"Ordinance No. 2016-15 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Village Transitional Comprehensive Plan to add Policy 19.3.4 Providing for the Option to Convert a Commercial Planned Development of. Action: Passed second reading and adopted Ordinance No. 2016-15",Passed second reading and adopted Ordinance No. 2016-15,,See minutes,,Comprehensive Plan; Comprehensive Plan / Land Development Code,DR/GR,True,0.65,2,7,"Ordinance No. 2016-15 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Village Transitional Comprehensive Plan to add Policy 19.3.4 Providing for the Option to Convert a Commercial Planned Development of","Ordinance No. 2016-15 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Village Transitional Comprehensive Plan to add Policy 19.3.4 Providing for the Option to Convert a Commercial Planned Development of. Action: Passed second reading and adopted Ordinance No. 2016-15",Passed second reading and adopted Ordinance No. 2016-15,Ordinance,True,
17,2,8,Ordinance,Ordinance No. 2016-16,,"Rezoning for the Reef Phase II Second Reading and Public Hearing Ordinance No. 2016-16 an Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Commercial Planned Development to Residential Planned Development with O",,,"Rezoning for the Reef Phase II Second Reading and Public Hearing Ordinance No. 2016-16 an Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Commercial Planned Development to Residential Planned Development with O. Action: Passed second reading and adopted Ordinance No. 2016-16",Passed second reading and adopted Ordinance No. 2016-16,,See minutes,,,DR/GR,True,0.5,1,8,"Rezoning for the Reef Phase II Second Reading and Public Hearing Ordinance No. 2016-16 an Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Commercial Planned Development to Residential Planned Development with O","Rezoning for the Reef Phase II Second Reading and Public Hearing Ordinance No. 2016-16 an Ordinance of the Village Council of the Village ofEstero, Florida, Approving a Rezoning from Commercial Planned Development to Residential Planned Development with O. Action: Passed second reading and adopted Ordinance No. 2016-16",Passed second reading and adopted Ordinance No. 2016-16,Ordinance,True,
18,2,9,Unknown,,,"Approval of December 7, 2016 Council Meeting Minutes",,,"Approval of December 7, 2016 Council Meeting Minutes. Action: No formal action recorded. Approval of December 7, 2016 Council Meeting Minutes","No formal action recorded. Approval of December 7, 2016 Council Meeting Minutes",,,,,DR/GR,True,0.5,8,9,"Approval of December 7, 2016 Council Meeting Minutes","Approval of December 7, 2016 Council Meeting Minutes. Action: No formal action recorded. Approval of December 7, 2016 Council Meeting Minutes","No formal action recorded. Approval of December 7, 2016 Council Meeting Minutes",Unknown,False,
19,2,10,Unknown,,,"Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource par",,,"Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource par. Action: No formal action recorded. Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource partners; 2017-2019 strategic plan for quality oflife, workforce development and talent retention and recruitment, and business retention and expansion; and the Village of Estero 2017 investment request with a one-year trial commitment: Councilmember voting seat on the Board of Directors and Village Manager as resource partner seat on the Board of Directors; and Enterprise Team investment of $5,000. The Village was offered a one year membership for $10,000; knowing that the City of Bonita Springs was paying $25,000 for a similar role, the Estero Community Improvement Foundation offered $5,000 to match the $5,000 from the Village. Questions ","No formal action recorded. Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource partners; 2017-2019 strategic plan for quality oflife, workforce development and talent retention and recruitment, and business retention and expansion; and the Village of Estero 2017 investment request with a one-year trial commitment: Councilmember voting seat on the Board of Directors and Village Manager as resource partner seat on the Board of Directors; and Enterprise Team investment of $5,000. The Village was offered a one year membership for $10,000; knowing that the City of Bonita Springs was paying $25,000 for a similar role, the Estero Community Improvement Foundation offered $5,000 to match the $5,000 from the Village. Questions ",,,,,DR/GR,True,0.5,8,10,"Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource par","Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource par. Action: No formal action recorded. Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource partners; 2017-2019 strategic plan for quality oflife, workforce development and talent retention and recruitment, and business retention and expansion; and the Village of Estero 2017 investment request with a one-year trial commitment: Councilmember voting seat on the Board of Directors and Village Manager as resource partner seat on the Board of Directors; and Enterprise Team investment of $5,000. The Village was offered a one year membership for $10,000; knowing that the City of Bonita Springs was paying $25,000 for a similar role, the Estero Community Improvement Foundation offered $5,000 to match the $5,000 from the Village. Questions ","No formal action recorded. Tiffany Esposito, Executive Director - Bonita Springs Estero Economic Development Council Ms. Esposito provided information regarding the Bonita Springs Estero Economic Development Council (EDC) vision; mission; investors; Board of Directors; resource partners; 2017-2019 strategic plan for quality oflife, workforce development and talent retention and recruitment, and business retention and expansion; and the Village of Estero 2017 investment request with a one-year trial commitment: Councilmember voting seat on the Board of Directors and Village Manager as resource partner seat on the Board of Directors; and Enterprise Team investment of $5,000. The Village was offered a one year membership for $10,000; knowing that the City of Bonita Springs was paying $25,000 for a similar role, the Estero Community Improvement Foundation offered $5,000 to match the $5,000 from the Village. Questions ",Unknown,False,
20,2,11,Unknown,,,Council Rules of Procedure - Removed from the agenda,,,Council Rules of Procedure - Removed from the agenda. Action: No formal action recorded. Council Rules of Procedure - Removed from the agenda,No formal action recorded. Council Rules of Procedure - Removed from the agenda,,,,,DR/GR,True,0.5,8,11,Council Rules of Procedure - Removed from the agenda,Council Rules of Procedure - Removed from the agenda. Action: No formal action recorded. Council Rules of Procedure - Removed from the agenda,No formal action recorded. Council Rules of Procedure - Removed from the agenda,Unknown,False,
21,2,12,Public Comment,,DO and zoning in place,Available Estero Properties,,,"Available Estero Properties. Action: No formal action recorded. Available Estero Properties Discussion ensued related to the 12.02 acre parcel with DO and zoning in place, which could be used for recreational development that Village Manager Sarkozy addressed at the December 7, 2016 meeting. Consensus was to pass on the 12.02 acre parcel. Discussion followed related to the parcel owned by Andy Djamoos. Village Manager Sarkozy noted that there have been informal discussions regarding the parcel. Village Attorney Saunders spoke to a process by which negotiations were exempt from disclosure for a specified period of time. He stated that he would get together with the Village Manager to review the statute. Public Comment: None. Village Council Meeting Final Action Agenda/Minutes - January 4, 2017 Page 6 oflO","No formal action recorded. Available Estero Properties Discussion ensued related to the 12.02 acre parcel with DO and zoning in place, which could be used for recreational development that Village Manager Sarkozy addressed at the December 7, 2016 meeting. Consensus was to pass on the 12.02 acre parcel. Discussion followed related to the parcel owned by Andy Djamoos. Village Manager Sarkozy noted that there have been informal discussions regarding the parcel. Village Attorney Saunders spoke to a process by which negotiations were exempt from disclosure for a specified period of time. He stated that he would get together with the Village Manager to review the statute. Public Comment: None. Village Council Meeting Final Action Agenda/Minutes - January 4, 2017 Page 6 oflO",,,,,DR/GR,True,0.5,8,12,Available Estero Properties,"Available Estero Properties. Action: No formal action recorded. Available Estero Properties Discussion ensued related to the 12.02 acre parcel with DO and zoning in place, which could be used for recreational development that Village Manager Sarkozy addressed at the December 7, 2016 meeting. Consensus was to pass on the 12.02 acre parcel. Discussion followed related to the parcel owned by Andy Djamoos. Village Manager Sarkozy noted that there have been informal discussions regarding the parcel. Village Attorney Saunders spoke to a process by which negotiations were exempt from disclosure for a specified period of time. He stated that he would get together with the Village Manager to review the statute. Public Comment: None. Village Council Meeting Final Action Agenda/Minutes - January 4, 2017 Page 6 oflO","No formal action recorded. Available Estero Properties Discussion ensued related to the 12.02 acre parcel with DO and zoning in place, which could be used for recreational development that Village Manager Sarkozy addressed at the December 7, 2016 meeting. Consensus was to pass on the 12.02 acre parcel. Discussion followed related to the parcel owned by Andy Djamoos. Village Manager Sarkozy noted that there have been informal discussions regarding the parcel. Village Attorney Saunders spoke to a process by which negotiations were exempt from disclosure for a specified period of time. He stated that he would get together with the Village Manager to review the statute. Public Comment: None. Village Council Meeting Final Action Agenda/Minutes - January 4, 2017 Page 6 oflO",Public Comment,False,
22,2,13,Unknown,,,State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m,,,State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m. Action: No formal action recorded. State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m,No formal action recorded. State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m,,,,,DR/GR,True,0.5,8,13,State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m,State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m. Action: No formal action recorded. State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m,No formal action recorded. State Legislative Agenda Village Manager Sarkozy spoke to the information provided that included priorities in draft format; final format to be brought to the next Council meeting. The meeting went into recess at 11:28 a.m. and reconvened at 11:40 a.m,Unknown,False,
23,3,1,Administrative,,June 8,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date","Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date",,Detected,,,TD/CS,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date","Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date",Administrative,True,
24,3,2,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,,,TD/CS,True,0.5,8,2,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,Administrative,True,
25,3,3,Consent Agenda,,,Financial Report for Month ended November 2022,,,Financial Report for Month ended November 2022. Action: Approved the Consent Agenda,Approved the Consent Agenda,,Detected,,,TD/CS,True,0.5,7,3,Financial Report for Month ended November 2022,Financial Report for Month ended November 2022. Action: Approved the Consent Agenda,Approved the Consent Agenda,Consent Agenda,True,
26,3,4,Contract Approval,EC 2019-36,Coastal Engineering Consultants,Estero River Sediment Analysis EC 2019-36 Change Order #1,,Estero River,"Estero River Sediment Analysis EC 2019-36 Change Order #1. Action: Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River","Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River",,Detected,,,TD/CS,True,0.6,5,4,Estero River Sediment Analysis EC 2019-36 Change Order #1,"Estero River Sediment Analysis EC 2019-36 Change Order #1. Action: Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River","Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River",Contract Approval,True,
27,3,5,Unknown,,,VILLAGE MANAGER'S REPORT,,,"VILLAGE MANAGER'S REPORT. Action: Accepted the Village's portion of the Opiod Settlement in the amount of $14,400","Accepted the Village's portion of the Opiod Settlement in the amount of $14,400",,Detected,,,TD/CS,True,0.5,8,5,VILLAGE MANAGER'S REPORT,"VILLAGE MANAGER'S REPORT. Action: Accepted the Village's portion of the Opiod Settlement in the amount of $14,400","Accepted the Village's portion of the Opiod Settlement in the amount of $14,400",Unknown,False,
28,3,6,Unknown,,,"December 7, 2022, Council Meeting Minutes",,,"December 7, 2022, Council Meeting Minutes. Action: No formal action recorded. December 7, 2022, Council Meeting Minutes","No formal action recorded. December 7, 2022, Council Meeting Minutes",,,,,TD/CS,True,0.5,8,6,"December 7, 2022, Council Meeting Minutes","December 7, 2022, Council Meeting Minutes. Action: No formal action recorded. December 7, 2022, Council Meeting Minutes","No formal action recorded. December 7, 2022, Council Meeting Minutes",Unknown,False,
29,3,7,Unknown,,,Financial Report for Month ended October 2022,,,Financial Report for Month ended October 2022. Action: No formal action recorded. Financial Report for Month ended October 2022,No formal action recorded. Financial Report for Month ended October 2022,,,,,TD/CS,True,0.5,7,7,Financial Report for Month ended October 2022,Financial Report for Month ended October 2022. Action: No formal action recorded. Financial Report for Month ended October 2022,No formal action recorded. Financial Report for Month ended October 2022,Unknown,False,
30,3,8,Public Comment,,,Broadway West UEP,,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL","Broadway West UEP. Action: No formal action recorded. Broadway West UEP Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Boesch, Ward, Vice Mayor McLain, and Mayor Errington Public Comments Pastor Frank Brand, First Baptist Church Patty Whitehead, Old Estero","No formal action recorded. Broadway West UEP Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Boesch, Ward, Vice Mayor McLain, and Mayor Errington Public Comments Pastor Frank Brand, First Baptist Church Patty Whitehead, Old Estero",,,,Septic to Sewer; Broadway Avenue Utility Extension,TD/CS,False,0.85,6,8,Broadway West UEP,"Broadway West UEP. Action: No formal action recorded. Broadway West UEP Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Boesch, Ward, Vice Mayor McLain, and Mayor Errington Public Comments Pastor Frank Brand, First Baptist Church Patty Whitehead, Old Estero","No formal action recorded. Broadway West UEP Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Boesch, Ward, Vice Mayor McLain, and Mayor Errington Public Comments Pastor Frank Brand, First Baptist Church Patty Whitehead, Old Estero",Public Comment,False,
31,3,9,Presentation,,,Village of Estero Northern Monument Sign Concepts,,,"Village of Estero Northern Monument Sign Concepts. Action: No formal action recorded. Village of Estero Northern Monument Sign Concepts Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director  Robert Eschenfelder, Village Attorney Council Questions or Comments Councilmembers Fiesel, Ward, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Village of Estero Northern Monument Sign Concepts Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director  Robert Eschenfelder, Village Attorney Council Questions or Comments Councilmembers Fiesel, Ward, Vice Mayor McLain, and Mayor Errington",,,,,TD/CS,True,0.5,6,9,Village of Estero Northern Monument Sign Concepts,"Village of Estero Northern Monument Sign Concepts. Action: No formal action recorded. Village of Estero Northern Monument Sign Concepts Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director  Robert Eschenfelder, Village Attorney Council Questions or Comments Councilmembers Fiesel, Ward, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Village of Estero Northern Monument Sign Concepts Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director  Robert Eschenfelder, Village Attorney Council Questions or Comments Councilmembers Fiesel, Ward, Vice Mayor McLain, and Mayor Errington",Presentation,False,
32,4,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,,,TD/CS,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,Administrative,True,
33,4,2,Consent Agenda,,,Financial Report for Month ended October 2021,,,Financial Report for Month ended October 2021. Action: Approved the Consent Agenda,Approved the Consent Agenda,,Detected,,,TD/CS,True,0.5,7,2,Financial Report for Month ended October 2021,Financial Report for Month ended October 2021. Action: Approved the Consent Agenda,Approved the Consent Agenda,Consent Agenda,True,
34,4,3,Resolution,Resolution No. 2022-01,,"Resolution No. 2022-01 of the Village Council of the Village of Estero, Florida, Amending Resolution No. 2021-16 Adopting Personnel Policies; and Providing an Effective Date",,,"Resolution No. 2022-01 of the Village Council of the Village of Estero, Florida, Amending Resolution No. 2021-16 Adopting Personnel Policies; and Providing an Effective Date. Action: Adopted Resolution No. 2022-01",Adopted Resolution No. 2022-01,,Detected,,,TD/CS,True,0.5,8,3,"Resolution No. 2022-01 of the Village Council of the Village of Estero, Florida, Amending Resolution No. 2021-16 Adopting Personnel Policies; and Providing an Effective Date","Resolution No. 2022-01 of the Village Council of the Village of Estero, Florida, Amending Resolution No. 2021-16 Adopting Personnel Policies; and Providing an Effective Date. Action: Adopted Resolution No. 2022-01",Adopted Resolution No. 2022-01,Resolution,True,
